date,open,high,low,close,adjusted_close,volume,currency,source
2023-01-02,49.900000,50.300000,49.700000,50.000000,50.000000,1000000,USD,generated deterministic fixture
2023-01-03,50.070784,50.470784,49.870784,50.170784,50.170784,1000100,USD,generated deterministic fixture
2023-01-04,50.240818,50.640818,50.040818,50.340818,50.340818,1000200,USD,generated deterministic fixture
2023-01-05,50.409359,50.809359,50.209359,50.509359,50.509359,1000300,USD,generated deterministic fixture
2023-01-06,50.575675,50.975675,50.375675,50.675675,50.675675,1000400,USD,generated deterministic fixture
2023-01-09,50.739054,51.139054,50.539054,50.839054,50.839054,1000500,USD,generated deterministic fixture
2023-01-10,50.898807,51.298807,50.698807,50.998807,50.998807,1000600,USD,generated deterministic fixture
2023-01-11,51.054275,51.454275,50.854275,51.154275,51.154275,1000700,USD,generated deterministic fixture
2023-01-12,51.204835,51.604835,51.004835,51.304835,51.304835,1000800,USD,generated deterministic fixture
2023-01-13,51.349904,51.749904,51.149904,51.449904,51.449904,1000900,USD,generated deterministic fixture
2023-01-16,51.488945,51.888945,51.288945,51.588945,51.588945,1001000,USD,generated deterministic fixture
2023-01-17,51.621471,52.021471,51.421471,51.721471,51.721471,1001100,USD,generated deterministic fixture
2023-01-18,51.747047,52.147047,51.547047,51.847047,51.847047,1001200,USD,generated deterministic fixture
2023-01-19,51.865297,52.265297,51.665297,51.965297,51.965297,1001300,USD,generated deterministic fixture
2023-01-20,51.975905,52.375905,51.775905,52.075905,52.075905,1001400,USD,generated deterministic fixture
2023-01-23,52.078619,52.478619,51.878619,52.178619,52.178619,1001500,USD,generated deterministic fixture
2023-01-24,52.173250,52.573250,51.973250,52.273250,52.273250,1001600,USD,generated deterministic fixture
2023-01-25,52.259679,52.659679,52.059679,52.359679,52.359679,1001700,USD,generated deterministic fixture
2023-01-26,52.337851,52.737851,52.137851,52.437851,52.437851,1001800,USD,generated deterministic fixture
2023-01-27,52.407783,52.807783,52.207783,52.507783,52.507783,1001900,USD,generated deterministic fixture
2023-01-30,52.469556,52.869556,52.269556,52.569556,52.569556,1002000,USD,generated deterministic fixture
2023-01-31,52.523322,52.923322,52.323322,52.623322,52.623322,1002100,USD,generated deterministic fixture
2023-02-01,52.569297,52.969297,52.369297,52.669297,52.669297,1002200,USD,generated deterministic fixture
2023-02-02,52.607763,53.007763,52.407763,52.707763,52.707763,1002300,USD,generated deterministic fixture
2023-02-03,52.639062,53.039062,52.439062,52.739062,52.739062,1002400,USD,generated deterministic fixture
2023-02-06,52.663597,53.063597,52.463597,52.763597,52.763597,1002500,USD,generated deterministic fixture
